Age,Race,Sex,Education,Weight
50 to 54 years,Black,Female,High school graduate,450
50 to 54 years,Black,Female,"Some college, no degree",310
50 to 54 years,Black,Female,"Associate's degree, occupational",43
50 to 54 years,Black,Female,"Associate's degree, academic",121
50 to 54 years,Black,Female,Bachelor's degree,248
50 to 54 years,Black,Female,Master's degree,124
50 to 54 years,Black,Female,Professional degree,11
50 to 54 years,Black,Female,Doctoral degree,14
55 to 59 years,Black,Female,None,5
55 to 59 years,Black,Female,1st - 4th grade,0
55 to 59 years,Black,Female,5th - 6th grade,13
55 to 59 years,Black,Female,7th - 8th grade,7
55 to 59 years,Black,Female,9th grade,22
55 to 59 years,Black,Female,10th grade,29
55 to 59 years,Black,Female,11th grade2,76
55 to 59 years,Black,Female,High school graduate,496
55 to 59 years,Black,Female,"Some college, no degree",315
55 to 59 years,Black,Female,"Associate's degree, occupational",75
55 to 59 years,Black,Female,"Associate's degree, academic",89
55 to 59 years,Black,Female,Bachelor's degree,198
55 to 59 years,Black,Female,Master's degree,80
55 to 59 years,Black,Female,Professional degree,10
55 to 59 years,Black,Female,Doctoral degree,28
60 to 64 years,Black,Female,None,4
60 to 64 years,Black,Female,1st - 4th grade,5
60 to 64 years,Black,Female,5th - 6th grade,20
60 to 64 years,Black,Female,7th - 8th grade,36
60 to 64 years,Black,Female,9th grade,22
60 to 64 years,Black,Female,10th grade,40
60 to 64 years,Black,Female,11th grade2,84
60 to 64 years,Black,Female,High school graduate,418
60 to 64 years,Black,Female,"Some college, no degree",214
60 to 64 years,Black,Female,"Associate's degree, occupational",42
60 to 64 years,Black,Female,"Associate's degree, academic",93
60 to 64 years,Black,Female,Bachelor's degree,158
60 to 64 years,Black,Female,Master's degree,87
60 to 64 years,Black,Female,Professional degree,6
60 to 64 years,Black,Female,Doctoral degree,17
65 to 69 years,Black,Female,None,5
65 to 69 years,Black,Female,1st - 4th grade,4
65 to 69 years,Black,Female,5th - 6th grade,13
65 to 69 years,Black,Female,7th - 8th grade,24
65 to 69 years,Black,Female,9th grade,29
65 to 69 years,Black,Female,10th grade,28
65 to 69 years,Black,Female,11th grade2,70
65 to 69 years,Black,Female,High school graduate,351
65 to 69 years,Black,Female,"Some college, no degree",236
65 to 69 years,Black,Female,"Associate's degree, occupational",28
65 to 69 years,Black,Female,"Associate's degree, academic",37
65 to 69 years,Black,Female,Bachelor's degree,120
65 to 69 years,Black,Female,Master's degree,60
65 to 69 years,Black,Female,Professional degree,4
65 to 69 years,Black,Female,Doctoral degree,6
70 to 74 years,Black,Female,None,5
70 to 74 years,Black,Female,1st - 4th grade,8
70 to 74 years,Black,Female,5th - 6th grade,13
70 to 74 years,Black,Female,7th - 8th grade,21
70 to 74 years,Black,Female,9th grade,14
70 to 74 years,Black,Female,10th grade,40
70 to 74 years,Black,Female,11th grade2,58
70 to 74 years,Black,Female,High school graduate,223
70 to 74 years,Black,Female,"Some college, no degree",113
70 to 74 years,Black,Female,"Associate's degree, occupational",36
70 to 74 years,Black,Female,"Associate's degree, academic",42
70 to 74 years,Black,Female,Bachelor's degree,58
70 to 74 years,Black,Female,Master's degree,37
70 to 74 years,Black,Female,Professional degree,2
70 to 74 years,Black,Female,Doctoral degree,4
75 years and over,Black,Female,None,24
75 years and over,Black,Female,1st - 4th grade,12
75 years and over,Black,Female,5th - 6th grade,36
75 years and over,Black,Female,7th - 8th grade,73
75 years and over,Black,Female,9th grade,44
75 years and over,Black,Female,10th grade,67
75 years and over,Black,Female,11th grade2,87
75 years and over,Black,Female,High school graduate,329
75 years and over,Black,Female,"Some college, no degree",122
75 years and over,Black,Female,"Associate's degree, occupational",26
75 years and over,Black,Female,"Associate's degree, academic",32
75 years and over,Black,Female,Bachelor's degree,97
75 years and over,Black,Female,Master's degree,46
75 years and over,Black,Female,Professional degree,4
75 years and over,Black,Female,Doctoral degree,12
18 to 24 years,White,Male,None,17
18 to 24 years,White,Male,1st - 4th grade,30
18 to 24 years,White,Male,5th - 6th grade,43
18 to 24 years,White,Male,7th - 8th grade,101
18 to 24 years,White,Male,9th grade,88
18 to 24 years,White,Male,10th grade,233
18 to 24 years,White,Male,11th grade2,1413
18 to 24 years,White,Male,High school graduate,3658
18 to 24 years,White,Male,"Some college, no degree",3749
18 to 24 years,White,Male,"Associate's degree, occupational",251
18 to 24 years,White,Male,"Associate's degree, academic",322
18 to 24 years,White,Male,Bachelor's degree,1025
18 to 24 years,White,Male,Master's degree,40
18 to 24 years,White,Male,Professional degree,6
18 to 24 years,White,Male,Doctoral degree,4
25 to 29 years,White,Male,None,13
25 to 29 years,White,Male,1st - 4th grade,31
25 to 29 years,White,Male,5th - 6th grade,61
25 to 29 years,White,Male,7th - 8th grade,75
25 to 29 years,White,Male,9th grade,87
25 to 29 years,White,Male,10th grade,152
25 to 29 years,White,Male,11th grade2,329
25 to 29 years,White,Male,High school graduate,2524
25 to 29 years,White,Male,"Some college, no degree",1634
25 to 29 years,White,Male,"Associate's degree, occupational",333
25 to 29 years,White,Male,"Associate's degree, academic",492
25 to 29 years,White,Male,Bachelor's degree,2123
25 to 29 years,White,Male,Master's degree,459
25 to 29 years,White,Male,Professional degree,71
25 to 29 years,White,Male,Doctoral degree,65
30 to 34 years,White,Male,None,19
30 to 34 years,White,Male,1st - 4th grade,32
30 to 34 years,White,Male,5th - 6th grade,96
30 to 34 years,White,Male,7th - 8th grade,99
30 to 34 years,White,Male,9th grade,108
30 to 34 years,White,Male,10th grade,108
30 to 34 years,White,Male,11th grade2,260
30 to 34 years,White,Male,High school graduate,2409
30 to 34 years,White,Male,"Some college, no degree",1337
30 to 34 years,White,Male,"Associate's degree, occupational",322
30 to 34 years,White,Male,"Associate's degree, academic",468
30 to 34 years,White,Male,Bachelor's degree,1960
30 to 34 years,White,Male,Master's degree,605
30 to 34 years,White,Male,Professional degree,156
30 to 34 years,White,Male,Doctoral degree,164
35 to 39 years,White,Male,None,8
35 to 39 years,White,Male,1st - 4th grade,62
35 to 39 years,White,Male,5th - 6th grade,179
35 to 39 years,White,Male,7th - 8th grade,143
35 to 39 years,White,Male,9th grade,141
35 to 39 years,White,Male,10th grade,127
35 to 39 years,White,Male,11th grade2,233
35 to 39 years,White,Male,High school graduate,2266
35 to 39 years,White,Male,"Some college, no degree",1221
35 to 39 years,White,Male,"Associate's degree, occupational",382
35 to 39 years,White,Male,"Associate's degree, academic",433
35 to 39 years,White,Male,Bachelor's degree,1829
35 to 39 years,White,Male,Master's degree,667
35 to 39 years,White,Male,Professional degree,105
35 to 39 years,White,Male,Doctoral degree,183
40 to 44 years,White,Male,None,18
40 to 44 years,White,Male,1st - 4th grade,57
40 to 44 years,White,Male,5th - 6th grade,165
40 to 44 years,White,Male,7th - 8th grade,130
40 to 44 years,White,Male,9th grade,131
40 to 44 years,White,Male,10th grade,102
40 to 44 years,White,Male,11th grade2,236
40 to 44 years,White,Male,High school graduate,1932
40 to 44 years,White,Male,"Some college, no degree",1083
40 to 44 years,White,Male,"Associate's degree, occupational",407
40 to 44 years,White,Male,"Associate's degree, academic",399
40 to 44 years,White,Male,Bachelor's degree,1648
40 to 44 years,White,Male,Master's degree,677
40 to 44 years,White,Male,Professional degree,137
40 to 44 years,White,Male,Doctoral degree,151
45 to 49 years,White,Male,None,13
45 to 49 years,White,Male,1st - 4th grade,43
45 to 49 years,White,Male,5th - 6th grade,148
45 to 49 years,White,Male,7th - 8th grade,117
45 to 49 years,White,Male,9th grade,150
45 to 49 years,White,Male,10th grade,130
45 to 49 years,White,Male,11th grade2,261
45 to 49 years,White,Male,High school graduate,2441
45 to 49 years,White,Male,"Some college, no degree",1258
45 to 49 years,White,Male,"Associate's degree, occupational",326
45 to 49 years,White,Male,"Associate's degree, academic",397
45 to 49 years,White,Male,Bachelor's degree,1723
45 to 49 years,White,Male,Master's degree,738
45 to 49 years,White,Male,Professional degree,121
45 to 49 years,White,Male,Doctoral degree,152
50 to 54 years,White,Male,None,33
50 to 54 years,White,Male,1st - 4th grade,74
50 to 54 years,White,Male,5th - 6th grade,136
50 to 54 years,White,Male,7th - 8th grade,126
50 to 54 years,White,Male,9th grade,134
50 to 54 years,White,Male,10th grade,151
50 to 54 years,White,Male,11th grade2,267
50 to 54 years,White,Male,High school graduate,2739
50 to 54 years,White,Male,"Some college, no degree",1231
50 to 54 years,White,Male,"Associate's degree, occupational",392
50 to 54 years,White,Male,"Associate's degree, academic",436
50 to 54 years,White,Male,Bachelor's degree,1701
50 to 54 years,White,Male,Master's degree,695
50 to 54 years,White,Male,Professional degree,110
50 to 54 years,White,Male,Doctoral degree,156
55 to 59 years,White,Male,None,22
55 to 59 years,White,Male,1st - 4th grade,44
55 to 59 years,White,Male,5th - 6th grade,144
55 to 59 years,White,Male,7th - 8th grade,108
55 to 59 years,White,Male,9th grade,117
55 to 59 years,White,Male,10th grade,140
55 to 59 years,White,Male,11th grade2,258
55 to 59 years,White,Male,High school graduate,2932
55 to 59 years,White,Male,"Some college, no degree",1364
55 to 59 years,White,Male,"Associate's degree, occupational",437
55 to 59 years,White,Male,"Associate's degree, academic",449
55 to 59 years,White,Male,Bachelor's degree,1653
55 to 59 years,White,Male,Master's degree,609
55 to 59 years,White,Male,Professional degree,167
55 to 59 years,White,Male,Doctoral degree,155
60 to 64 years,White,Male,None,34
60 to 64 years,White,Male,1st - 4th grade,62
60 to 64 years,White,Male,5th - 6th grade,134
60 to 64 years,White,Male,7th - 8th grade,77
60 to 64 years,White,Male,9th grade,91
60 to 64 years,White,Male,10th grade,111
60 to 64 years,White,Male,11th grade2,177
60 to 64 years,White,Male,High school graduate,2233
60 to 64 years,White,Male,"Some college, no degree",1332
60 to 64 years,White,Male,"Associate's degree, occupational",383
60 to 64 years,White,Male,"Associate's degree, academic",378
60 to 64 years,White,Male,Bachelor's degree,1437
60 to 64 years,White,Male,Master's degree,738
60 to 64 years,White,Male,Professional degree,167
60 to 64 years,White,Male,Doctoral degree,169
65 to 69 years,White,Male,None,12
65 to 69 years,White,Male,1st - 4th grade,43
65 to 69 years,White,Male,5th - 6th grade,103
65 to 69 years,White,Male,7th - 8th grade,88
65 to 69 years,White,Male,9th grade,87
65 to 69 years,White,Male,10th grade,100
65 to 69 years,White,Male,11th grade2,141
65 to 69 years,White,Male,High school graduate,1707
65 to 69 years,White,Male,"Some college, no degree",1070
65 to 69 years,White,Male,"Associate's degree, occupational",335
65 to 69 years,White,Male,"Associate's degree, academic",325
65 to 69 years,White,Male,Bachelor's degree,1497
65 to 69 years,White,Male,Master's degree,699
65 to 69 years,White,Male,Professional degree,190
65 to 69 years,White,Male,Doctoral degree,223
70 to 74 years,White,Male,None,18
70 to 74 years,White,Male,1st - 4th grade,40
70 to 74 years,White,Male,5th - 6th grade,54
70 to 74 years,White,Male,7th - 8th grade,140
70 to 74 years,White,Male,9th grade,90
70 to 74 years,White,Male,10th grade,106
70 to 74 years,White,Male,11th grade2,98
70 to 74 years,White,Male,High school graduate,1332
70 to 74 years,White,Male,"Some college, no degree",755
70 to 74 years,White,Male,"Associate's degree, occupational",165
70 to 74 years,White,Male,"Associate's degree, academic",211
70 to 74 years,White,Male,Bachelor's degree,1041
70 to 74 years,White,Male,Master's degree,551
70 to 74 years,White,Male,Professional degree,155
70 to 74 years,White,Male,Doctoral degree,158
75 years and over,White,Male,None,47
75 years and over,White,Male,1st - 4th grade,95
75 years and over,White,Male,5th - 6th grade,110
75 years and over,White,Male,7th - 8th grade,309
75 years and over,White,Male,9th grade,171
75 years and over,White,Male,10th grade,185
75 years and over,White,Male,11th grade2,215
75 years and over,White,Male,High school graduate,2341
75 years and over,White,Male,"Some college, no degree",1128
75 years and over,White,Male,"Associate's degree, occupational",228
75 years and over,White,Male,"Associate's degree, academic",257
75 years and over,White,Male,Bachelor's degree,1281
75 years and over,White,Male,Master's degree,617
75 years and over,White,Male,Professional degree,165
75 years and over,White,Male,Doctoral degree,248
18 to 24 years,White,Female,None,15
18 to 24 years,White,Female,1st - 4th grade,17
18 to 24 years,White,Female,5th - 6th grade,23
18 to 24 years,White,Female,7th - 8th grade,46
18 to 24 years,White,Female,9th grade,77
18 to 24 years,White,Female,10th grade,168
18 to 24 years,White,Female,11th grade2,1092
18 to 24 years,White,Female,High school graduate,2700
18 to 24 years,White,Female,"Some college, no degree",4180
18 to 24 years,White,Female,"Associate's degree, occupational",289
18 to 24 years,White,Female,"Associate's degree, academic",517
18 to 24 years,White,Female,Bachelor's degree,1413
18 to 24 years,White,Female,Master's degree,90
18 to 24 years,White,Female,Professional degree,8
18 to 24 years,White,Female,Doctoral degree,8
25 to 29 years,White,Female,None,4
25 to 29 years,White,Female,1st - 4th grade,19
25 to 29 years,White,Female,5th - 6th grade,32
25 to 29 years,White,Female,7th - 8th grade,66
25 to 29 years,White,Female,9th grade,97
25 to 29 years,White,Female,10th grade,114
25 to 29 years,White,Female,11th grade2,189
25 to 29 years,White,Female,High school graduate,1832
25 to 29 years,White,Female,"Some college, no degree",1524
25 to 29 years,White,Female,"Associate's degree, occupational",365
25 to 29 years,White,Female,"Associate's degree, academic",635
25 to 29 years,White,Female,Bachelor's degree,2511
25 to 29 years,White,Female,Master's degree,675
25 to 29 years,White,Female,Professional degree,68
25 to 29 years,White,Female,Doctoral degree,90
30 to 34 years,White,Female,None,11
30 to 34 years,White,Female,1st - 4th grade,22
30 to 34 years,White,Female,5th - 6th grade,80
30 to 34 years,White,Female,7th - 8th grade,98
30 to 34 years,White,Female,9th grade,139
30 to 34 years,White,Female,10th grade,89
30 to 34 years,White,Female,11th grade2,185
30 to 34 years,White,Female,High school graduate,1700
30 to 34 years,White,Female,"Some college, no degree",1286
30 to 34 years,White,Female,"Associate's degree, occupational",352
30 to 34 years,White,Female,"Associate's degree, academic",552
30 to 34 years,White,Female,Bachelor's degree,2222
30 to 34 years,White,Female,Master's degree,930
30 to 34 years,White,Female,Professional degree,125
30 to 34 years,White,Female,Doctoral degree,167
35 to 39 years,White,Female,None,24
35 to 39 years,White,Female,1st - 4th grade,32
35 to 39 years,White,Female,5th - 6th grade,109
35 to 39 years,White,Female,7th - 8th grade,110
35 to 39 years,White,Female,9th grade,171
35 to 39 years,White,Female,10th grade,110
35 to 39 years,White,Female,11th grade2,208
35 to 39 years,White,Female,High school graduate,1620
35 to 39 years,White,Female,"Some college, no degree",1173
35 to 39 years,White,Female,"Associate's degree, occupational",341
35 to 39 years,White,Female,"Associate's degree, academic",570
35 to 39 years,White,Female,Bachelor's degree,1980
35 to 39 years,White,Female,Master's degree,1040
35 to 39 years,White,Female,Professional degree,120
35 to 39 years,White,Female,Doctoral degree,151
40 to 44 years,White,Female,None,17
40 to 44 years,White,Female,1st - 4th grade,32
40 to 44 years,White,Female,5th - 6th grade,136
40 to 44 years,White,Female,7th - 8th grade,120
40 to 44 years,White,Female,9th grade,121
40 to 44 years,White,Female,10th grade,95
40 to 44 years,White,Female,11th grade2,172
40 to 44 years,White,Female,High school graduate,1545
40 to 44 years,White,Female,"Some college, no degree",1077
40 to 44 years,White,Female,"Associate's degree, occupational",339
40 to 44 years,White,Female,"Associate's degree, academic",519
40 to 44 years,White,Female,Bachelor's degree,1906
40 to 44 years,White,Female,Master's degree,977
40 to 44 years,White,Female,Professional degree,123
40 to 44 years,White,Female,Doctoral degree,132
45 to 49 years,White,Female,None,15
45 to 49 years,White,Female,1st - 4th grade,50
45 to 49 years,White,Female,5th - 6th grade,141
45 to 49 years,White,Female,7th - 8th grade,111
45 to 49 years,White,Female,9th grade,133
45 to 49 years,White,Female,10th grade,78
45 to 49 years,White,Female,11th grade2,211
45 to 49 years,White,Female,High school graduate,2003
45 to 49 years,White,Female,"Some college, no degree",1160
45 to 49 years,White,Female,"Associate's degree, occupational",399
45 to 49 years,White,Female,"Associate's degree, academic",627
45 to 49 years,White,Female,Bachelor's degree,1947
45 to 49 years,White,Female,Master's degree,893
45 to 49 years,White,Female,Professional degree,144
45 to 49 years,White,Female,Doctoral degree,134
50 to 54 years,White,Female,None,24
50 to 54 years,White,Female,1st - 4th grade,43
50 to 54 years,White,Female,5th - 6th grade,127
50 to 54 years,White,Female,7th - 8th grade,85
50 to 54 years,White,Female,9th grade,124
50 to 54 years,White,Female,10th grade,121
50 to 54 years,White,Female,11th grade2,204
50 to 54 years,White,Female,High school graduate,2346
50 to 54 years,White,Female,"Some college, no degree",1364
50 to 54 years,White,Female,"Associate's degree, occupational",496
50 to 54 years,White,Female,"Associate's degree, academic",735
50 to 54 years,White,Female,Bachelor's degree,1781
50 to 54 years,White,Female,Master's degree,824
50 to 54 years,White,Female,Professional degree,95
50 to 54 years,White,Female,Doctoral degree,132
55 to 59 years,White,Female,None,21
55 to 59 years,White,Female,1st - 4th grade,67
55 to 59 years,White,Female,5th - 6th grade,111
55 to 59 years,White,Female,7th - 8th grade,108
55 to 59 years,White,Female,9th grade,88
55 to 59 years,White,Female,10th grade,111
55 to 59 years,White,Female,11th grade2,223
55 to 59 years,White,Female,High school graduate,2767
55 to 59 years,White,Female,"Some college, no degree",1437
55 to 59 years,White,Female,"Associate's degree, occupational",443
55 to 59 years,White,Female,"Associate's degree, academic",738
55 to 59 years,White,Female,Bachelor's degree,1814
55 to 59 years,White,Female,Master's degree,828
55 to 59 years,White,Female,Professional degree,117
55 to 59 years,White,Female,Doctoral degree,90
60 to 64 years,White,Female,None,15
60 to 64 years,White,Female,1st - 4th grade,64
60 to 64 years,White,Female,5th - 6th grade,114
60 to 64 years,White,Female,7th - 8th grade,102
60 to 64 years,White,Female,9th grade,84
60 to 64 years,White,Female,10th grade,102
60 to 64 years,White,Female,11th grade2,191
60 to 64 years,White,Female,High school graduate,2466
60 to 64 years,White,Female,"Some college, no degree",1475
60 to 64 years,White,Female,"Associate's degree, occupational",390
60 to 64 years,White,Female,"Associate's degree, academic",597
60 to 64 years,White,Female,Bachelor's degree,1608
60 to 64 years,White,Female,Master's degree,870
60 to 64 years,White,Female,Professional degree,112
60 to 64 years,White,Female,Doctoral degree,113
65 to 69 years,White,Female,None,28
65 to 69 years,White,Female,1st - 4th grade,64
65 to 69 years,White,Female,5th - 6th grade,108
65 to 69 years,White,Female,7th - 8th grade,100
65 to 69 years,White,Female,9th grade,91
65 to 69 years,White,Female,10th grade,103
65 to 69 years,White,Female,11th grade2,173
65 to 69 years,White,Female,High school graduate,2197
65 to 69 years,White,Female,"Some college, no degree",1252
65 to 69 years,White,Female,"Associate's degree, occupational",366
65 to 69 years,White,Female,"Associate's degree, academic",441
65 to 69 years,White,Female,Bachelor's degree,1332
65 to 69 years,White,Female,Master's degree,799
65 to 69 years,White,Female,Professional degree,95
65 to 69 years,White,Female,Doctoral degree,99
70 to 74 years,White,Female,None,16
70 to 74 years,White,Female,1st - 4th grade,55
70 to 74 years,White,Female,5th - 6th grade,89
70 to 74 years,White,Female,7th - 8th grade,89
70 to 74 years,White,Female,9th grade,64
70 to 74 years,White,Female,10th grade,92
70 to 74 years,White,Female,11th grade2,158
70 to 74 years,White,Female,High school graduate,1920
70 to 74 years,White,Female,"Some college, no degree",917
70 to 74 years,White,Female,"Associate's degree, occupational",276
70 to 74 years,White,Female,"Associate's degree, academic",273
70 to 74 years,White,Female,Bachelor's degree,978
70 to 74 years,White,Female,Master's degree,570
70 to 74 years,White,Female,Professional degree,30
70 to 74 years,White,Female,Doctoral degree,64
75 years and over,White,Female,None,44
75 years and over,White,Female,1st - 4th grade,127
75 years and over,White,Female,5th - 6th grade,173
75 years and over,White,Female,7th - 8th grade,340
75 years and over,White,Female,9th grade,167
75 years and over,White,Female,10th grade,271
75 years and over,White,Female,11th grade2,436
75 years and over,White,Female,High school graduate,3959
75 years and over,White,Female,"Some college, no degree",1603
75 years and over,White,Female,"Associate's degree, occupational",324
75 years and over,White,Female,"Associate's degree, academic",401
75 years and over,White,Female,Bachelor's degree,1264
75 years and over,White,Female,Master's degree,576
75 years and over,White,Female,Professional degree,70
75 years and over,White,Female,Doctoral degree,100
18 to 24 years,White,Male,None,19
18 to 24 years,White,Male,1st - 4th grade,30
18 to 24 years,White,Male,5th - 6th grade,45
18 to 24 years,White,Male,7th - 8th grade,70
18 to 24 years,White,Male,9th grade,83
18 to 24 years,White,Male,10th grade,241
18 to 24 years,White,Male,11th grade2,1425
18 to 24 years,White,Male,High school graduate,3683
18 to 24 years,White,Male,"Some college, no degree",3701
18 to 24 years,White,Male,"Associate's degree, occupational",282
18 to 24 years,White,Male,"Associate's degree, academic",341
18 to 24 years,White,Male,Bachelor's degree,965
18 to 24 years,White,Male,Master's degree,39
18 to 24 years,White,Male,Professional degree,19
18 to 24 years,White,Male,Doctoral degree,12
25 to 29 years,White,Male,None,19
25 to 29 years,White,Male,1st - 4th grade,13
25 to 29 years,White,Male,5th - 6th grade,77
25 to 29 years,White,Male,7th - 8th grade,89
25 to 29 years,White,Male,9th grade,122
25 to 29 years,White,Male,10th grade,110
25 to 29 years,White,Male,11th grade2,286
25 to 29 years,White,Male,High school graduate,2603
25 to 29 years,White,Male,"Some college, no degree",1664
25 to 29 years,White,Male,"Associate's degree, occupational",360
25 to 29 years,White,Male,"Associate's degree, academic",406
25 to 29 years,White,Male,Bachelor's degree,2342
25 to 29 years,White,Male,Master's degree,388
25 to 29 years,White,Male,Professional degree,85
25 to 29 years,White,Male,Doctoral degree,87
30 to 34 years,White,Male,None,19
30 to 34 years,White,Male,1st - 4th grade,32
30 to 34 years,White,Male,5th - 6th grade,114
30 to 34 years,White,Male,7th - 8th grade,92
30 to 34 years,White,Male,9th grade,136
30 to 34 years,White,Male,10th grade,110
30 to 34 years,White,Male,11th grade2,288
30 to 34 years,White,Male,High school graduate,2287
30 to 34 years,White,Male,"Some college, no degree",1239
30 to 34 years,White,Male,"Associate's degree, occupational",406
30 to 34 years,White,Male,"Associate's degree, academic",452
30 to 34 years,White,Male,Bachelor's degree,2143
30 to 34 years,White,Male,Master's degree,582
30 to 34 years,White,Male,Professional degree,112
30 to 34 years,White,Male,Doctoral degree,184
35 to 39 years,White,Male,None,26
35 to 39 years,White,Male,1st - 4th grade,44
35 to 39 years,White,Male,5th - 6th grade,141
35 to 39 years,White,Male,7th - 8th grade,112
35 to 39 years,White,Male,9th grade,154
35 to 39 years,White,Male,10th grade,120
35 to 39 years,White,Male,11th grade2,283
35 to 39 years,White,Male,High school graduate,2203
35 to 39 years,White,Male,"Some college, no degree",1228
35 to 39 years,White,Male,"Associate's degree, occupational",380
35 to 39 years,White,Male,"Associate's degree, academic",416
35 to 39 years,White,Male,Bachelor's degree,1974
35 to 39 years,White,Male,Master's degree,773
35 to 39 years,White,Male,Professional degree,115
35 to 39 years,White,Male,Doctoral degree,163
40 to 44 years,White,Male,None,33
40 to 44 years,White,Male,1st - 4th grade,48
40 to 44 years,White,Male,5th - 6th grade,137
40 to 44 years,White,Male,7th - 8th grade,126
40 to 44 years,White,Male,9th grade,115
40 to 44 years,White,Male,10th grade,125
40 to 44 years,White,Male,11th grade2,205
40 to 44 years,White,Male,High school graduate,2045
40 to 44 years,White,Male,"Some college, no degree",1074
40 to 44 years,White,Male,"Associate's degree, occupational",390
40 to 44 years,White,Male,"Associate's degree, academic",375
40 to 44 years,White,Male,Bachelor's degree,1683
40 to 44 years,White,Male,Master's degree,698
40 to 44 years,White,Male,Professional degree,98
40 to 44 years,White,Male,Doctoral degree,143
45 to 49 years,White,Male,None,20
45 to 49 years,White,Male,1st - 4th grade,54
45 to 49 years,White,Male,5th - 6th grade,107
45 to 49 years,White,Male,7th - 8th grade,121
45 to 49 years,White,Male,9th grade,111
45 to 49 years,White,Male,10th grade,118
45 to 49 years,White,Male,11th grade2,257
45 to 49 years,White,Male,High school graduate,2337
45 to 49 years,White,Male,"Some college, no degree",1201
45 to 49 years,White,Male,"Associate's degree, occupational",382
45 to 49 years,White,Male,"Associate's degree, academic",416
45 to 49 years,White,Male,Bachelor's degree,1725
45 to 49 years,White,Male,Master's degree,787
45 to 49 years,White,Male,Professional degree,144
45 to 49 years,White,Male,Doctoral degree,161
50 to 54 years,White,Male,None,19
50 to 54 years,White,Male,1st - 4th grade,45
50 to 54 years,White,Male,5th - 6th grade,145
50 to 54 years,White,Male,7th - 8th grade,130
50 to 54 years,White,Male,9th grade,127
50 to 54 years,White,Male,10th grade,145
50 to 54 years,White,Male,11th grade2,247
50 to 54 years,White,Male,High school graduate,2535
50 to 54 years,White,Male,"Some college, no degree",1226
50 to 54 years,White,Male,"Associate's degree, occupational",375
50 to 54 years,White,Male,"Associate's degree, academic",397
50 to 54 years,White,Male,Bachelor's degree,1778
50 to 54 years,White,Male,Master's degree,683
50 to 54 years,White,Male,Professional degree,123
50 to 54 years,White,Male,Doctoral degree,194
55 to 59 years,White,Male,None,24
55 to 59 years,White,Male,1st - 4th grade,61
55 to 59 years,White,Male,5th - 6th grade,142
55 to 59 years,White,Male,7th - 8th grade,149
55 to 59 years,White,Male,9th grade,117
55 to 59 years,White,Male,10th grade,129
55 to 59 years,White,Male,11th grade2,297
55 to 59 years,White,Male,High school graduate,2785
55 to 59 years,White,Male,"Some college, no degree",1327
55 to 59 years,White,Male,"Associate's degree, occupational",419
55 to 59 years,White,Male,"Associate's degree, academic",453
55 to 59 years,White,Male,Bachelor's degree,1748
55 to 59 years,White,Male,Master's degree,626
55 to 59 years,White,Male,Professional degree,147
55 to 59 years,White,Male,Doctoral degree,161
60 to 64 years,White,Male,None,21
60 to 64 years,White,Male,1st - 4th grade,39
60 to 64 years,White,Male,5th - 6th grade,130
60 to 64 years,White,Male,7th - 8th grade,103
60 to 64 years,White,Male,9th grade,86
60 to 64 years,White,Male,10th grade,81
60 to 64 years,White,Male,11th grade2,217
60 to 64 years,White,Male,High school graduate,2303
60 to 64 years,White,Male,"Some college, no degree",1317
60 to 64 years,White,Male,"Associate's degree, occupational",351
60 to 64 years,White,Male,"Associate's degree, academic",377
60 to 64 years,White,Male,Bachelor's degree,1551
60 to 64 years,White,Male,Master's degree,705
60 to 64 years,White,Male,Professional degree,183
60 to 64 years,White,Male,Doctoral degree,197
65 to 69 years,White,Male,None,13
65 to 69 years,White,Male,1st - 4th grade,36
65 to 69 years,White,Male,5th - 6th grade,94
65 to 69 years,White,Male,7th - 8th grade,102
65 to 69 years,White,Male,9th grade,82
65 to 69 years,White,Male,10th grade,87
65 to 69 years,White,Male,11th grade2,177
65 to 69 years,White,Male,High school graduate,1762
65 to 69 years,White,Male,"Some college, no degree",1175
65 to 69 years,White,Male,"Associate's degree, occupational",298
65 to 69 years,White,Male,"Associate's degree, academic",363
65 to 69 years,White,Male,Bachelor's degree,1431
65 to 69 years,White,Male,Master's degree,724
65 to 69 years,White,Male,Professional degree,148
65 to 69 years,White,Male,Doctoral degree,236
70 to 74 years,White,Male,None,16
70 to 74 years,White,Male,1st - 4th grade,33
70 to 74 years,White,Male,5th - 6th grade,69
70 to 74 years,White,Male,7th - 8th grade,90
70 to 74 years,White,Male,9th grade,105
70 to 74 years,White,Male,10th grade,100
70 to 74 years,White,Male,11th grade2,118
70 to 74 years,White,Male,High school graduate,1485
70 to 74 years,White,Male,"Some college, no degree",893
70 to 74 years,White,Male,"Associate's degree, occupational",193
70 to 74 years,White,Male,"Associate's degree, academic",242
70 to 74 years,White,Male,Bachelor's degree,1127
70 to 74 years,White,Male,Master's degree,540
70 to 74 years,White,Male,Professional degree,158
70 to 74 years,White,Male,Doctoral degree,218
75 years and over,White,Male,None,42
75 years and over,White,Male,1st - 4th grade,101
75 years and over,White,Male,5th - 6th grade,122
75 years and over,White,Male,7th - 8th grade,329
75 years and over,White,Male,9th grade,150
75 years and over,White,Male,10th grade,196
75 years and over,White,Male,11th grade2,248
75 years and over,White,Male,High school graduate,2367
75 years and over,White,Male,"Some college, no degree",1140
75 years and over,White,Male,"Associate's degree, occupational",199
